Befehl,S‰tze,Durchschnittliche Wahrscheinlichkeit (%),Maximale Wahrscheinlichkeit (%),Minimale Wahrscheinlichkeit (%),Standardabweichung der Wahrscheinlichkeiten,Anzahl der Unsicheren S‰tze,Durchschnittliche Satzl‰nge (W√∂rter)
check_griff,5.0,93.6064600944519,94.60878372192383,91.15626811981201,1.2915782168843555,0.0,4.6
check_count_spitze,5.0,91.59137487411499,94.67729330062866,83.16214680671692,4.320766864518601,0.0,6.6
give_griff,5.0,91.35541319847107,92.05344915390015,90.91404676437378,0.43717343652966173,0.0,4.8
give_tip_or_bottom,5.0,90.10364413261414,91.31379723548889,89.39497470855713,0.735795092897789,0.0,5.4
open_rechten_greifer,5.0,89.61968302726746,90.08764028549194,88.73056769371033,0.47282081749592775,0.0,5.0
tell_next_step,5.0,89.24003481864929,91.0614013671875,84.78844165802002,2.3131282522409657,0.0,4.8
check_kleine_schraube,5.0,88.26475501060486,91.18228554725647,84.73548293113708,2.690469031502831,0.0,6.4
check_spitze,5.0,87.9981005191803,95.0187623500824,60.262709856033325,13.867965784483276,0.0,4.6
open_linken_greifer,5.0,87.89029479026794,88.7912929058075,86.342453956604,0.9022419234417742,0.0,5.0
check_count_gro√üe_schraube,5.0,86.77736759185791,89.10863995552063,82.16213583946228,2.3870593638636475,0.0,7.8
check_count_kleine_schraube,5.0,86.77495837211609,91.18228554725647,81.68622255325317,3.1708541345896104,0.0,6.6
arbeitsmodus,5.0,86.22127056121826,86.88098192214966,85.14353036880493,0.6810109999664294,0.0,4.2
offener_modus,5.0,86.16621971130371,86.80426478385925,84.01765823364258,1.0818478094087594,0.0,5.2
check_gro√üe_schraube,5.0,83.71207356452942,90.41541814804077,60.50073504447937,11.618326728987546,0.0,6.2
check_count_oberteil,5.0,82.26038157939911,92.24896430969238,44.23041641712189,19.023296267287794,0.0,5.8
stop_application,5.0,81.57551407814026,84.07759070396423,74.81011152267456,3.441614340935547,0.0,2.6
give_small_screw,5.0,81.44790530204773,85.72425842285156,78.25501561164856,2.5863902266242045,0.0,5.4
Gesamtstatistik,130.0,77.58442827142203,95.0187623500824,23.589006066322327,18.793789827603653,0.0,5.530769230769231
give_large_screw,5.0,76.46944880485535,79.47677373886108,69.10468339920044,3.7816043524511254,0.0,6.4
drop_griff,5.0,74.430832862854,82.79016017913818,54.562532901763916,10.28524075296232,0.0,7.4
start_application,5.0,70.66949427127838,77.42291688919067,48.393937945365906,11.208070419376263,0.0,2.4
drop_spitze,5.0,65.39282977581024,74.64460730552673,45.42954862117767,11.320870357354554,0.0,7.6
do_next_step,5.0,62.225109040737145,84.66914892196655,24.69460219144821,26.501957914750967,0.0,4.2
drop_all,5.0,56.85815691947938,77.58366465568542,31.23718798160553,18.415389416204896,0.0,5.0
drop_kleine_schraube,5.0,50.50400018692016,61.585742235183716,29.420113563537598,13.480308438508851,0.0,8.6
schraube,5.0,47.85195052623749,60.403114557266235,38.14024329185486,8.608448036677974,0.0,3.8
drop_gro√üe_schraube,5.0,28.18786144256592,29.8755943775177,23.589006066322327,2.3848169676000674,0.0,7.4
