,Sätze,Durchschnittliche Wahrscheinlichkeit (%),Maximale Wahrscheinlichkeit (%),Minimale Wahrscheinlichkeit (%),Standardabweichung der Wahrscheinlichkeiten,Anzahl der False Positives,Durchschnittliche Satzlänge (Wörter)
drop_große_schraube,10.0,98.90468299388885,99.00880455970764,98.65337610244751,0.09896448259337828,7.0,7.4
drop_griff,10.0,97.40433692932129,98.47632050514221,93.79057884216309,1.5423863689938075,7.0,7.6
give_große_schraube,9.0,97.20814360512627,97.92509078979492,95.15461325645447,0.9255342459914804,10.0,6.666666666666667
give_kleine_schraube,8.0,96.55632749199867,98.43920469284058,86.99720501899719,3.6230381148125566,11.0,5.5
check_spitze,9.0,96.404320663876,97.09930419921875,94.36663389205933,1.0914028528045656,5.0,4.777777777777778
drop_spitze,10.0,95.69232940673828,98.30196499824524,81.83108568191528,4.722369776530286,9.0,7.4
give_tip_or_bottom,10.0,94.37677025794983,98.84910583496094,55.94996213912964,12.809912986118116,11.0,5.4
give_griff,10.0,94.3182522058487,98.65933656692505,56.854790449142456,12.48853881599458,9.0,4.9
tell_next_step,5.0,92.43962049484253,95.94393968582153,88.63297700881958,2.9064095076975582,13.0,4.8
check_große_schraube,10.0,92.17905521392822,93.41208338737488,89.63034749031067,1.3807332617764232,5.0,6.2
check_count_spitze,9.0,85.29714345932007,96.12972140312195,41.186267137527466,19.401370166554308,5.0,6.444444444444445
Gesamtstatistik,214.0,84.17460418471666,99.03135299682617,13.026401400566101,20.081371015224562,13.0,5.775700934579439
drop_kleine_schraube,10.0,83.69896233081818,99.03135299682617,54.81218695640564,18.2167073433063,9.0,8.7
check_count_oberteil,7.0,80.21444593157086,94.98520493507385,69.78023052215576,10.272906090875345,5.0,6.0
open_rechten_greifer,7.0,78.8921377488545,90.54791927337646,13.183382153511047,26.83175193546817,11.0,5.142857142857143
start_application,5.0,78.59577298164368,87.34242916107178,61.717015504837036,9.232791155069531,13.0,2.4
check_count_große_schraube,9.0,78.37077842818367,94.01543736457825,38.40237259864807,16.913525099487362,3.0,7.555555555555555
stop_application,5.0,77.24444508552551,82.05713033676147,72.08724021911621,4.243190703928799,13.0,2.6
offener_modus,5.0,76.1283415555954,95.59527635574341,23.018768429756165,28.21193935351384,13.0,5.0
check_count_kleine_schraube,11.0,74.6456585147164,92.99083352088928,34.13082659244537,21.444171911102423,5.0,6.636363636363637
do_next_step,9.0,74.21712941593594,95.70425152778625,36.899855732917786,25.063186350870957,12.0,4.888888888888889
open_linken_greifer,10.0,73.74642074108124,88.072669506073,28.973940014839172,20.692347239490054,11.0,5.0
arbeitsmodus,13.0,73.14021495672372,96.0148274898529,25.69064497947693,25.284637426493212,0.0,4.3076923076923075
check_griff,10.0,73.05156409740448,96.51937484741211,51.519328355789185,15.289765053375302,5.0,4.7
check_kleine_schraube,4.0,68.4926688671112,93.16099286079407,35.734134912490845,23.428453900898706,5.0,5.0
drop_all,9.0,60.22562152809567,97.21360802650452,13.026401400566101,32.637805383540844,7.0,5.0
