epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.056,2.71706,4.61518,1.44773,0,0,0,0,3.17926,4.49613,1.533,3.75e-05,3.75e-05,3.75e-05
2,37.423,2.78126,4.46047,1.29002,0.00015,0.01415,0.0001,1e-05,2.79006,4.44564,1.10619,8.64172e-05,8.64172e-05,8.64172e-05
3,55.566,2.44647,4.02197,1.13223,0.00626,0.5,0.3176,0.25101,1.93226,4.13197,0.95774,0.000134097,0.000134097,0.000134097
4,74.067,2.44019,3.32149,1.06194,0.00579,0.5,0.308,0.20465,1.77765,3.93762,0.92789,0.000180539,0.000180539,0.000180539
5,93.1765,2.28737,2.43381,1.01368,0.00611,0.5,0.41778,0.14562,1.65218,3.81513,0.90029,0.000225744,0.000225744,0.000225744
6,112.964,2.14056,2.13188,0.98264,0.00641,0.5,0.36587,0.09464,1.73303,3.63791,0.92065,0.000269711,0.000269711,0.000269711
7,132,2.12098,1.95361,0.97595,0.00599,0.47414,0.39675,0.08515,2.26318,3.62926,1.04757,0.000312441,0.000312441,0.000312441
8,150.793,1.9854,1.68929,0.96946,0.00934,0.51394,0.29909,0.12555,1.81598,3.40297,0.93665,0.000353933,0.000353933,0.000353933
9,169.475,1.94531,1.54792,0.94299,0.01215,0.52725,0.19969,0.15221,1.83595,3.34591,0.95782,0.000394188,0.000394188,0.000394188
10,187.642,1.83888,1.44885,0.94894,0.03668,0.71125,0.49966,0.33436,1.58674,3.09169,0.89188,0.000433205,0.000433205,0.000433205
11,205.63,1.74706,1.43518,0.89446,0.05006,0.96631,0.51178,0.3101,1.5521,2.91441,0.86526,0.000470984,0.000470984,0.000470984
12,223.779,1.73613,1.31153,0.92056,0.05061,0.99151,0.54472,0.30214,1.57907,2.8923,0.87053,0.000507527,0.000507527,0.000507527
13,242.23,1.66189,1.27717,0.89459,0.05237,0.98746,0.73635,0.48219,1.49686,2.67823,0.85575,0.000542831,0.000542831,0.000542831
14,261.081,1.65922,1.18578,0.91217,0.05194,0.97578,0.72511,0.49319,1.4795,2.59943,0.84962,0.000576898,0.000576898,0.000576898
15,281.158,1.6981,1.1862,0.89252,0.0451,0.86609,0.66954,0.47342,1.53004,2.78649,0.86353,0.000609728,0.000609728,0.000609728
16,299.764,1.71839,1.18768,0.87938,0.04221,0.83495,0.65115,0.45807,1.48517,2.87313,0.85979,0.00064132,0.00064132,0.00064132
17,318.46,1.73257,1.17738,0.90857,0.05027,0.98651,0.75662,0.50647,1.45952,2.47436,0.85034,0.000671675,0.000671675,0.000671675
18,336.744,1.64312,1.14725,0.86512,0.05112,0.99905,0.841,0.55943,1.47527,2.20047,0.85279,0.000700792,0.000700792,0.000700792
19,355.934,1.57567,1.04731,0.87126,0.47811,0.99278,0.83938,0.56495,1.44477,2.14886,0.84513,0.000728672,0.000728672,0.000728672
20,375.196,1.66752,1.09754,0.87315,0.47804,0.99427,0.82282,0.54845,1.40446,2.17413,0.83694,0.000755314,0.000755314,0.000755314
21,394.665,1.59385,1.07495,0.86042,0.58953,0.98267,0.8484,0.55899,1.41964,2.15119,0.84481,0.000780719,0.000780719,0.000780719
22,413.585,1.51074,1.06945,0.90077,0.73761,0.91691,0.85899,0.56021,1.47532,2.1001,0.8516,0.000804886,0.000804886,0.000804886
23,432.748,1.58711,1.01379,0.90062,0.8847,0.81103,0.87635,0.59038,1.40671,2.06095,0.83931,0.000827816,0.000827816,0.000827816
24,451.907,1.54119,1.06247,0.8845,0.91029,0.65784,0.87728,0.60732,1.33787,2.239,0.83153,0.000849508,0.000849508,0.000849508
25,471.045,1.53985,0.99639,0.86333,0.93941,0.45109,0.88788,0.61665,1.33345,2.13792,0.83109,0.000869963,0.000869963,0.000869963
26,490.243,1.52868,1.01319,0.87815,0.92013,0.66546,0.90525,0.62348,1.37599,1.80786,0.83532,0.000863281,0.000863281,0.000863281
27,509.449,1.5088,0.93969,0.89078,0.91752,0.73114,0.91786,0.62884,1.36396,1.68621,0.83507,0.000847813,0.000847813,0.000847813
28,528.509,1.54068,0.9483,0.86263,0.91216,0.68945,0.91907,0.63497,1.34028,1.81325,0.83381,0.000832344,0.000832344,0.000832344
29,549.272,1.51971,0.94618,0.88964,0.88702,0.65039,0.91764,0.62917,1.35916,2.02464,0.83851,0.000816875,0.000816875,0.000816875
30,570.655,1.52914,0.96025,0.86905,0.87167,0.72693,0.93606,0.64221,1.34787,1.82848,0.83511,0.000801406,0.000801406,0.000801406
31,590.292,1.44223,0.87944,0.87801,0.89265,0.9001,0.95059,0.64675,1.34809,1.37352,0.83251,0.000785938,0.000785938,0.000785938
32,610.276,1.46911,0.9651,0.85732,0.90121,0.91767,0.95437,0.63409,1.37388,1.2508,0.83405,0.000770469,0.000770469,0.000770469
33,630.257,1.48553,0.91892,0.87863,0.90165,0.91164,0.95763,0.63441,1.3721,1.35507,0.83391,0.000755,0.000755,0.000755
34,650.518,1.47525,0.89303,0.86685,0.89701,0.91631,0.96007,0.6444,1.35509,1.35592,0.83248,0.000739531,0.000739531,0.000739531
35,670.996,1.46803,0.90375,0.87899,0.89011,0.93582,0.96434,0.65026,1.34754,1.20462,0.83429,0.000724062,0.000724062,0.000724062
36,690.848,1.42087,0.84051,0.86188,0.89807,0.94118,0.96846,0.6579,1.32923,1.04681,0.83409,0.000708594,0.000708594,0.000708594
37,710.713,1.463,0.84617,0.8408,0.89699,0.95305,0.97084,0.66318,1.30515,0.97978,0.83431,0.000693125,0.000693125,0.000693125
38,730.733,1.45169,0.8673,0.85793,0.89402,0.95584,0.97264,0.67215,1.27899,0.94514,0.83319,0.000677656,0.000677656,0.000677656
39,750.697,1.43709,0.89135,0.85954,0.89508,0.95934,0.97334,0.6737,1.26412,0.95558,0.83158,0.000662188,0.000662188,0.000662188
40,769.81,1.47041,0.84667,0.86046,0.89478,0.96411,0.97126,0.6665,1.28653,0.98839,0.83587,0.000646719,0.000646719,0.000646719
41,788.594,1.48429,0.85672,0.88496,0.90032,0.96182,0.97149,0.66023,1.30064,1.02535,0.834,0.00063125,0.00063125,0.00063125
42,808.564,1.44122,0.84053,0.86624,0.90234,0.96786,0.97512,0.66609,1.29084,0.95932,0.83108,0.000615781,0.000615781,0.000615781
